frame_idx,marker_id,x,y
0,0,264.2540168762207,138.8839817047119
0,1,280.36088943481445,114.63220596313477
0,2,291.0748481750488,114.74401473999023
0,3,301.01390838623047,114.82440948486328
0,4,249.20347213745117,114.85296249389648
0,5,238.23368072509766,115.25917053222656
0,6,229.35503005981445,116.11061096191406
0,7,314.49840545654297,127.21515655517578
0,8,221.30029678344727,129.11922454833984
0,9,286.62057876586914,166.4498805999756
0,10,248.02974700927734,166.44673347473145
0,11,394.8408508300781,272.21423149108887
0,12,146.16121292114258,292.75800704956055
0,13,393.30718994140625,436.12186431884766
0,14,47.42879867553711,446.8736457824707
0,16,-38.66081237792969,577.591438293457
0,20,-60.314178466796875,609.9384498596191
0,22,-40.72664260864258,598.7049865722656
1,0,266.5317580103874,136.5667037665844
1,1,281.7716658115387,111.39778554439545
1,2,292.5232371687889,111.38173788785934
1,3,302.1033841371536,111.34532511234283
1,4,249.74326997995377,111.92099779844284
1,5,238.5510116815567,112.36534774303436
1,6,229.25522595643997,113.2346847653389
1,7,315.2397358417511,123.75834345817566
1,8,220.70951223373413,126.06369316577911
1,9,287.29079604148865,165.27888000011444
1,10,248.98390769958496,165.6567496061325
1,11,392.6774251461029,270.78650683164597
1,12,143.54901611804962,291.56710624694824
1,13,392.3275947570801,432.47336626052856
1,14,44.76345896720886,451.96720361709595
2,0,268.42974255327135,135.64712546998635
2,1,282.27657122537494,110.47975298948586
2,2,292.6684466050938,110.28786397073418
2,3,301.92121042869985,110.11904153041542
2,4,250.52628777455539,111.53143419418484
2,5,239.30062550120056,112.2039217595011
2,6,229.95702610816807,113.35726329591125
2,7,314.5417804270983,121.84502832591534
2,8,220.6951354444027,125.97389090806246
2,9,288.4973265975714,164.22849845141172
2,10,250.2842003107071,165.39479356259108
2,11,392.64520259574056,269.62691007647663
2,12,143.41951495967805,291.75720378756523
2,13,396.3963711261749,432.0521606504917
2,14,47.40516297519207,453.4083987772465
3,0,268.005194286161,134.4901872634
3,1,282.1087876652018,109.1119165973214
3,2,292.46613181858265,108.9075397815759
3,3,301.7524470233184,108.71319190380746
3,4,250.05196040416195,110.22918133174244
