frame_idx,marker_id,x,y
0,0,323.61244201660156,109.76755142211914
0,1,330.2734375,70.04842758178711
0,2,337.71060943603516,67.80069351196289
0,3,345.46382904052734,65.59687614440918
0,4,307.0853805541992,72.18884468078613
0,5,297.18711853027344,71.42563819885254
0,6,286.5504837036133,70.57923316955566
0,7,341.93092346191406,55.3904914855957
0,8,261.36892318725586,63.41391563415527
0,9,331.45469665527344,126.42645835876465
0,10,300.37452697753906,128.8179874420166
0,11,398.7450408935547,124.93406295776367
0,12,162.1390151977539,157.12966918945312
0,14,76.1088752746582,373.85281562805176
0,16,-34.98334884643555,613.9595603942871
0,18,-85.36741256713867,672.5047874450684
0,20,-75.38087844848633,675.2426719665527
0,22,-48.17667007446289,657.4578666687012
1,0,307.3102670907974,128.76480102539062
1,1,310.6867802143097,87.36311629414558
1,2,317.46870309114456,83.51916164159775
1,3,324.589841067791,79.69997003674507
1,4,289.91635113954544,93.71492251753807
1,5,280.6606462597847,94.33468267321587
1,6,270.621457695961,94.88751992583275
1,7,326.6749918460846,64.4112503528595
1,8,251.58050656318665,82.65900313854218
1,9,320.6918668746948,137.99832701683044
1,10,291.24783277511597,144.0078628063202
1,11,380.8840870857239,147.35174506902695
1,12,151.71249203383923,179.117614030838
1,14,78.17542999982834,395.0322090089321
1,16,-39.333691988140345,626.0861697234213
1,18,-87.31524109840393,682.8334039449692
1,20,-75.62514543533325,686.3927122950554
1,22,-49.22579288482666,665.406596660614
1,23,345.16090393066406,564.8133087158203
1,24,220.53815841674805,576.6003227233887
2,0,306.57093237154186,134.32167649269104
2,1,307.3222201131284,94.67233225470409
2,2,319.60024857427925,88.70860647875816
2,3,327.3583341250196,85.0520128919743
2,4,280.55079416837543,96.93081858800724
2,5,279.94403393473476,97.74032583693042
2,6,269.56975686363876,97.77047238545492
2,7,327.90627993643284,68.23923714458942
2,8,249.14642997086048,85.2608872577548
2,9,318.75266402959824,143.71447764337063
2,10,288.49165841937065,149.30898182094097
2,11,384.26470573991537,141.2654681922868
2,12,148.68731837370433,173.2170251570642
2,13,405.87562561035156,340.62755584716797
2,14,76.22610198799521,403.11894725309685
2,16,-3.7092555637173064,636.5856889034148
2,18,-51.444147657603025,696.6662243474275
2,20,-36.62626888602972,697.9663799190894
2,22,-22.659603655338287,673.6641173064709
3,0,311.8588285673468,122.71687952801585
3,1,316.3270708246273,84.50935270771879
3,2,325.94550574904133,81.05113871650246
3,3,333.83682756444614,78.53233852529229
3,4,292.29428377359,85.77367143119773
3,5,286.83533838142466,85.4330277059853
3,6,276.8240974705259,84.74450369187252
3,7,333.2706986973062,66.86449509579688
3,8,255.24554864037782,77.68528825370595
3,9,322.05489521846175,137.71266215946525
3,10,291.9498111587018,141.18931795936078
3,11,388.66376755118836,136.71037209824135
3,12,164.8078048141042,157.02313257403148
3,13,406.01980447769165,336.0713267326355
3,14,78.47720161364123,374.6794679364757
3,16,62.70859310779605,589.0691231979091
3,18,16.034584619046655,662.9481270500401
3,20,33.37560063402634,662.3963701625325
3,22,30.312301572412252,648.3701949846
3,24,229.20250058174133,556.7379856109619
4,0,315.01759203737265,62.994133472966496
4,1,332.1356313624847,38.915153647525926
4,2,340.4467108127517,37.09349108385254
4,3,348.1894729004182,35.61207213760042
4,4,297.9123412722163,31.679167433906628
4,5,291.29770335589797,31.540751254788688
4,6,279.68943521961364,31.030029699007287
4,7,342.8714624294662,33.48485727823572
4,8,258.2469372570631,42.72515531440149
4,9,325.15622045262717,97.34143089823192
4,10,295.5354718369199,99.2371310244198
4,11,397.3298571878081,118.53574654384005
4,12,173.55213205516742,150.5780387640661
4,13,408.2995368540287,317.85040006041527
4,14,86.83224729149174,348.43723118030823
4,16,101.48267748911296,552.2016820657142
4,18,65.33378655076831,627.2777946633073
4,20,85.16161669614121,624.1562276850311
4,22,75.5123965383973,617.5242513528792
4,23,364.4355893135071,524.7487592697144
4,24,242.1212705038488,522.0448784530163
5,0,321.71067145289277,35.93292155138897
5,1,334.60687634902916,6.736663223503827
5,2,342.9743921220926,5.775421882898026
5,3,352.6499671917078,4.307919027677558
5,4,304.9770894850805,3.742798807051093
5,5,297.19309204878033,3.606929768160212
5,6,285.31492574618346,2.8590702918915323
5,7,347.4418329772925,15.427786072996241
5,8,261.99574615546226,23.50390744987635
5,9,331.8024469110969,72.40441645442843
5,10,301.7639092357058,72.94325739798296
5,11,398.199329270798,119.42616599998993
5,12,179.94241280172847,150.08166403912236
5,13,408.4017254295759,305.50878568785265
5,14,90.21054036125433,345.00864534523066
5,15,444.64210510253906,441.71690940856934
5,16,126.14772901636572,550.8518921459265
5,17,460.27294158935547,467.1851921081543
5,18,99.31311928166416,618.215899200075
5,19,450.8783721923828,463.0678653717041
5,20,122.14059322322711,614.1590561900825
5,21,446.5053939819336,457.9691505432129
5,22,112.25912931047787,604.6551111030203
5,24,253.85148167959414,513.5317202936858
6,0,326.7589390843137,44.85361810049518
6,1,343.6308500068353,26.39004217324728
6,2,351.23651112963285,25.80836440562614
6,3,359.5574939838995,24.952106975970906
6,4,318.2429434026109,24.616373822858407
6,5,301.9830805000638,17.860369379693505
6,6,298.60207969902774,23.302540737994644
6,7,350.7387678089128,17.409195654601035
6,8,269.04713771858155,26.670888622012967
6,9,337.07210917176326,74.71312525827102
6,10,307.5665566931161,73.53113422537604
6,11,397.77499083819225,133.11903207230583
6,12,186.61632363172177,151.06689932596097
6,13,400.7977754829699,301.80099848596
6,14,96.76647818663344,334.08932258398914
6,15,443.31652980297804,430.9204359445721
6,16,145.66904368582993,486.19345636022285
6,17,456.6642254590988,456.53508201241493
6,18,133.06536333002205,559.9006986235034
6,19,451.82815968990326,452.74961963295937
6,20,161.24425405785803,546.9425162016815
6,21,447.09843158721924,450.7800757884979
6,22,147.40888708727198,553.8116335880545
6,23,367.05119755119085,521.2986452132463
6,24,256.60663550866957,521.9208130649349
7,0,326.3199260138032,43.52777199805246
7,1,340.97925303537727,25.22478165134912
7,2,348.79268570460647,25.43849514282992
7,3,356.39384460322344,25.55600366234426
7,4,315.1477521773588,24.089257531423787
7,5,302.69007275548194,21.509055293089155
7,6,295.7405136034961,24.20714846008798
7,7,355.6323318330042,25.62991337087574
7,8,273.14023395321334,30.52978297289865
7,9,339.2049667550336,72.30557264550633
7,10,308.65637229438835,70.22187849364109
7,11,408.1386626222916,154.80838044030315
7,12,199.5500503169185,173.6377668650341
7,13,416.5328565548424,312.9177686912891
7,14,129.39656107183902,339.4449989345876
7,15,475.41826102304185,438.31953023650385
7,16,195.2328607495081,462.3468047065843
7,17,482.85551556386054,463.1709024938755
7,18,183.65056951816103,526.5381447064227
7,19,478.31379112787545,461.52548058656976
7,20,214.09343516022352,512.0521242686324
7,21,465.35096675157547,453.5432528704405
7,22,193.1007868455535,516.8918810791404
7,23,380.2369634230854,495.2857779187616
7,24,265.61393685264505,498.30127029076493
7,100,479.8906707763672,435.866174697876
7,101,473.27869415283203,451.09697341918945
7,102,475.7549285888672,466.7421627044678
7,103,478.49063873291016,478.3404064178467
7,104,480.09204864501953,487.6495170593262
7,105,496.39087677001953,472.3065662384033
7,106,498.99658203125,485.6789016723633
7,107,494.4078063964844,493.40063095092773
7,108,489.7617721557617,497.6593780517578
7,109,500.65990447998047,470.9642028808594
7,110,503.63258361816406,485.04037857055664
7,111,499.4087600708008,492.39492416381836
7,112,494.2657470703125,497.303524017334
7,113,503.72276306152344,470.07877349853516
7,114,506.87835693359375,483.99547576904297
7,115,503.1195068359375,491.31465911865234
7,116,498.38104248046875,495.8767890930176
7,117,505.86421966552734,469.06871795654297
7,118,509.1899871826172,481.6628837585449
7,119,506.3321304321289,488.8759231567383
7,120,502.3879623413086,493.47936630249023
8,0,329.1736977394811,48.91234890173385
8,1,341.69576664615033,31.022433749002463
8,2,349.4701984308008,31.876920879453074
8,3,356.47333061641575,32.51701618132964
8,4,316.4130349971713,29.423458088074568
8,5,306.07199631185244,28.548189213889373
8,6,297.91507377314696,30.026664471618844
8,7,357.5312871847819,35.64094772249547
8,8,278.75269804117215,38.254656159598326
8,9,342.1017673600396,74.52837546354591
8,10,312.1279953786519,72.10475016654334
8,11,411.0607985784277,165.11992193242264
8,12,209.95317354220958,184.7319174456964
8,13,426.51046794743775,320.0929337744028
8,14,151.0322798402093,341.0641503107029
8,15,484.9787641394239,441.1363015660617
8,16,211.6844775741604,455.54051838010434
8,17,495.9383630361117,466.4555986351115
8,18,211.25054491673455,513.8151220059307
8,19,489.6376909290848,465.64927656876534
8,20,237.92758468385483,499.59406231257094
8,21,475.2797590382397,455.44136877637357
8,22,220.16620492972538,497.90218113958633
8,23,389.62860885671944,487.0757629932086
8,24,278.3718148638066,492.4692014679767
8,100,481.499605178833,435.9449887275696
8,101,474.62011337280273,450.9350037574768
8,102,477.0475387573242,466.638400554657
8,103,479.86095428466797,478.3595395088196
8,104,481.3860034942627,487.69392013549805
8,105,498.14040184020996,472.0300769805908
8,106,500.68516731262207,485.76331615448
8,107,496.38678550720215,493.7419366836548
8,108,492.07422256469727,498.30363750457764
8,109,502.65721321105957,470.747172832489
8,110,505.3623390197754,485.0152015686035
8,111,501.27763748168945,492.4343204498291
8,112,496.3659381866455,497.5196170806885
8,113,505.6112003326416,469.9546694755554
8,114,508.39147567749023,483.94816875457764
8,115,504.76099967956543,491.35311126708984
8,116,500.24221420288086,496.1132526397705
8,117,507.4093532562256,469.16293144226074
8,118,510.50073623657227,481.7781114578247
8,119,507.7500629425049,489.1348600387573
8,120,503.99304389953613,493.9339256286621
9,0,331.54703111326097,60.314918002092554
9,1,342.8084317681544,42.05709481613991
9,2,350.2768667835584,42.79173945007505
9,3,356.94840127765906,43.41900027547114
9,4,317.65514751971114,40.634194667344445
9,5,307.6728373665634,40.36201556674939
9,6,299.39040337074226,41.303651669245795
9,7,359.61092131850893,46.89730832526509
9,8,282.89487015670426,47.979630770377085
9,9,344.7714784921341,82.4455560726266
9,10,314.6641912424259,79.91902676795127
9,11,413.14575643220564,175.7593593302264
9,12,221.8905224312688,193.7572140636691
9,13,430.53732233998505,326.4751541523123
9,14,169.05412442050334,340.21945293035037
9,15,490.1623796471034,439.5594743433195
9,16,209.94716920880887,451.25973688254834
9,17,504.16851034599176,466.3550029165907
9,18,218.5185621297131,507.52527721311526
9,19,498.1655929669546,465.98403777687224
9,20,239.9128190578723,495.48244229038943
9,21,484.3165026616771,455.5104421588476
9,22,229.1640416683868,485.5707375654939
9,23,396.778287594537,481.8677909958646
9,24,288.8234006144261,488.30521383522597
9,100,483.7846255302429,435.81978499889374
9,101,476.66916370391846,450.57571828365326
9,102,479.0470218658447,466.3294726610184
9,103,481.90829277038574,478.2211893796921
9,104,483.46474409103394,487.5930404663086
9,105,500.70674180984497,471.95955991744995
9,106,503.5642123222351,486.1707365512848
9,107,499.25941705703735,494.1984736919403
9,108,495.0594663619995,498.62292408943176
9,109,505.34857511520386,470.7604533433914
9,110,508.0624723434448,485.38952350616455
9,111,503.92587184906006,492.8067898750305
9,112,499.20939207077026,497.83865690231323
